tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1980-580,Australian Open,Grass,,G,19801226,1,100282,1,,Guillermo Vilas,L,180,ARG,28.36,100430,,,David Carter,R,183,AUS,24.68,7-6 6-3 6-4,5,R64,,,,,,,,,,,,,,,,,,,,4,,145,
1980-580,Australian Open,Grass,,G,19801226,2,100210,,,Steve Docherty,R,,AUS,30.64,100326,,,Russell Simpson,R,188,NZL,26.84,4-6 6-3 6-7 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,,122,,76,
1980-580,Australian Open,Grass,,G,19801226,3,100529,,,Kevin Curren,R,185,USA,22.82,100605,,Q,Charlie Fancutt,R,178,AUS,21.53,6-4 6-3 6-3,5,R64,,,,,,,,,,,,,,,,,,,,,,198,
1980-580,Australian Open,Grass,,G,19801226,4,100395,11,,Victor Pecci,R,193,PAR,25.20,100346,,,Paul Kronk,R,,AUS,26.26,7-6 6-7 6-3 5-7 6-4,5,R64,,,,,,,,,,,,,,,,,,,,31,,92,
1980-580,Australian Open,Grass,,G,19801226,5,100203,,,Phil Dent,R,183,AUS,30.86,100135,,,Onny Parun,R,188,NZL,33.70,6-7 6-4 2-6 7-6 7-6,5,R64,,,,,,,,,,,,,,,,,,,,40,,100,
1980-580,Australian Open,Grass,,G,19801226,6,100515,,,Shlomo Glickstein,R,188,ISR,22.97,100597,,Q,Jay Lapidus,L,188,USA,21.66,6-0 3-6 6-3 6-1,5,R64,,,,,,,,,,,,,,,,,,,,57,,283,
1980-580,Australian Open,Grass,,G,19801226,7,100364,,,Jonathan Smith,R,188,GBR,25.91,100451,,,Tony Graham,R,,USA,24.16,7-6 6-7 7-6 6-1,5,R64,,,,,,,,,,,,,,,,,,,,130,,169,
1980-580,Australian Open,Grass,,G,19801226,8,100446,6,,John Sadri,R,188,USA,24.27,100382,,Q,Chris Kachel,R,,AUS,25.52,6-3 6-3 6-4,5,R64,,,,,,,,,,,,,,,,,,,,14,,268,
1980-580,Australian Open,Grass,,G,19801226,9,100551,,,Brad Drewett,L,185,AUS,22.44,100342,4,,Vitas Gerulaitis,R,183,USA,26.42,2-6 6-4 1-6 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,,115,,9,
1980-580,Australian Open,Grass,,G,19801226,10,100272,,,Sandy Mayer,R,178,USA,28.73,100655,,,Fritz Buehning,R,196,USA,20.81,6-1 3-6 7-5 4-6 6-3,5,R64,,,,,,,,,,,,,,,,,,,,52,,41,
