tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1994-520,Roland Garros,Clay,128,G,19940523,001,101948,1,,Pete Sampras,R,185,USA,22.7789185489,1,5304,102610,,Q,Albert Costa,R,180,ESP,18.9103353867,109,403,6-3 6-4 6-4,5,R128,,,,,,,,,,,,,,,,,,,
1994-520,Roland Garros,Clay,128,G,19940523,002,102701,,Q,Marcelo Rios,L,175,CHI,18.4065708419,283,115,102215,,Q,Joshua Eagle,R,183,AUS,21.0349075975,239,149,6-2 6-3 6-2,5,R128,,5,0,87,56,42,21,13,3,3,3,2,80,53,31,12,12,4,9
1994-520,Roland Garros,Clay,128,G,19940523,003,101767,,Q,Lars Jonsson,R,188,SWE,23.9041752225,97,449,100944,,,Mikael Pernfors,R,173,SWE,30.8528405202,49,766,7-5 6-2 1-0 RET,5,R128,3,2,2,61,36,28,14,11,1,2,5,1,70,31,22,16,11,0,5
1994-520,Roland Garros,Clay,128,G,19940523,004,101235,,,Paul Haarhuis,R,188,NED,28.2546201232,25,1210,100936,,,Henri Leconte,L,185,FRA,30.8856947296,48,771,6-4 6-4 6-2,5,R128,,2,4,95,51,37,23,14,8,10,0,2,82,39,23,20,14,1,7
1994-520,Roland Garros,Clay,128,G,19940523,005,102025,,Q,Mikael Tillstrom,R,185,SWE,22.2149212868,226,158,101482,,,Markus Zoecke,R,196,GER,26.0342231348,99,444,6-4 3-6 6-3 6-4,5,R128,,6,2,116,71,57,24,19,2,4,11,6,142,82,64,24,19,5,9
1994-520,Roland Garros,Clay,128,G,19940523,006,101249,,,Andrei Olhovskiy,R,185,RUS,28.1040383299,92,480,101789,,,Steve Bryan,R,178,USA,23.7837097878,83,514,6-3 6-3 6-3,5,R128,,24,7,130,81,71,19,14,10,11,1,2,88,67,37,12,13,8,13
1994-520,Roland Garros,Clay,128,G,19940523,007,101285,,WC,Thierry Champion,R,183,FRA,27.7262149213,192,200,101920,,,Jamie Morgan,R,185,AUS,22.9568788501,55,713,4-6 7-5 3-6 7-6(5) 9-7,5,R128,,,,,,,,,,,,,,,,,,,
1994-520,Roland Garros,Clay,128,G,19940523,008,101990,16,,Richard Krajicek,R,196,NED,22.4613278576,16,1443,101120,,,Karel Novacek,R,190,CZE,29.1471594798,43,799,6-1 7-5 7-5,5,R128,,12,5,104,54,44,25,16,0,3,0,1,110,68,46,11,15,13,20
1994-520,Roland Garros,Clay,128,G,19940523,009,101890,,,Jonathan Stark,R,188,USA,23.1375770021,42,806,102006,,LL,Brent Larkham,R,178,AUS,22.3709787817,138,284,6-2 6-3 6-7(4) 6-3,5,R128,,9,2,140,92,73,26,20,5,6,7,6,141,93,62,20,18,10,15
1994-520,Roland Garros,Clay,128,G,19940523,010,102148,,WC,Fabrice Santoro,R,178,FRA,21.4510609172,127,338,102202,,,Kenneth Carlsen,L,190,DEN,21.0978781656,111,399,7-6(3) 6-3 6-4,5,R128,,1,0,94,70,49,18,16,2,4,3,2,99,73,45,15,15,4,8
1994-520,Roland Garros,Clay,128,G,19940523,011,101720,,Q,Agustin Garizzio,R,185,ARG,24.1779603012,516,37,101468,,WC,Gerard Solves,R,185,FRA,26.1245722108,117,376,3-6 6-1 6-2 6-4,5,R128,,3,6,124,71,53,27,17,2,3,3,2,121,82,56,14,17,10,15
1994-520,Roland Garros,Clay,128,G,19940523,012,101358,,,Olivier Delaitre,R,170,FRA,26.9760438056,76,544,100954,,,Luiz Mattar,R,183,BRA,30.7624914442,44,793,7-6(6) 7-6(6) RET,5,R128,,,,,,,,,,,,,,,,,,,
1994-520,Roland Garros,Clay,128,G,19940523,013,101792,,,Slava Dosedel,R,183,CZE,23.7727583847,30,1027,101233,,,Alex Antonitsch,R,188,AUT,28.2847364819,75,546,6-3 6-4 6-4,5,R128,,1,2,103,82,51,6,15,4,9,3,3,107,53,33,18,14,8,16
1994-520,Roland Garros,Clay,128,G,19940523,014,102035,,,Jonas Bjorkman,R,183,SWE,22.1656399726,105,424,101977,,LL,Patricio Arnold,R,183,ARG,22.5900068446,134,299,6-7(5) 7-6(4) 6-1 3-6 9-7,5,R128,,,,,,,,,,,,,,,,,,,
1994-520,Roland Garros,Clay,128,G,19940523,015,101924,,,Stefano Pescosolido,R,185,ITA,22.9431895962,47,781,101373,,,Karsten Braasch,L,180,GER,26.8583162218,45,789,4-6 7-6(4) 7-5 6-3,5,R128,27,5,6,151,64,44,46,21,8,13,8,9,180,92,66,32,22,15,22
1994-520,Roland Garros,Clay,128,G,19940523,016,101793,7,,Jim Courier,R,185,USA,23.7645448323,7,2564,101179,,,Jean Philippe Fleurian,R,185,FRA,28.6954140999,70,576,6-1 6-4 6-4,5,R128,,6,6,104,63,49,14,14,3,6,2,6,92,49,25,19,13,8,15
1994-520,Roland Garros,Clay,128,G,19940523,017,102446,4,,Andrei Medvedev,R,193,UKR,19.7262149213,4,2747,100923,,,Wally Masur,R,180,AUS,31.0280629706,39,847,6-2 6-4 6-2,5,R128,,2,0,89,62,45,17,13,9,9,1,4,83,56,36,9,13,3,8
1994-520,Roland Garros,Clay,128,G,19940523,018,101900,,,Nicklas Kulti,R,190,SWE,23.0855578371,80,529,101719,,WC,Frederic Fontang,R,183,FRA,24.180698152,225,165,6-3 6-4 6-7(6) 3-6 6-1,5,R128,,10,3,165,98,75,31,23,6,11,0,1,167,122,70,24,24,10,19
1994-520,Roland Garros,Clay,128,G,19940523,019,102257,,,Greg Rusedski,L,193,GBR,20.7091033539,59,684,101806,,,Marc Kevin Goellner,R,196,GER,23.665982204,54,736,7-6(6) 6-3 7-6(3),5,R128,,17,1,125,87,77,18,17,5,5,6,2,119,69,49,30,16,3,4
1994-520,Roland Garros,Clay,128,G,19940523,020,101334,,,Alexander Volkov,L,188,RUS,27.2224503765,22,1289,102154,,Q,Marcos Ondruska,R,183,RSA,21.4264202601,95,452,6-7(3) 6-3 6-2 6-3,5,R128,,,,,,,,,,,,,,,,,,,
1994-520,Roland Garros,Clay,128,G,19940523,021,101797,,,Jacco Eltingh,R,188,NED,23.7316906229,62,675,101391,,,Carl Uwe Steeb,L,180,GER,26.7241615332,121,365,7-6(3) 6-2 6-3,5,R128,,18,3,103,69,62,21,14,1,1,4,3,104,57,40,23,15,7,11
