tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2004-1536,Madrid Masters,Hard,48,M,20041018,300,101956,102110,1,,103184,103185,2,,6-3 6-4,3,F,Mark Knowles,R,190,BAH,33.1225188227,Daniel Nestor,L,190,CAN,32.1204654346,Bob Bryan,L,193,USA,26.4722792608,Mike Bryan,R,190,USA,26.4722792608,1,4480,1,4480,5,3520,5,3520,,,,,,,,,,,,,,,,,,,,
2004-1536,Madrid Masters,Hard,48,M,20041018,299,101956,102110,1,,102405,103018,3,,6-4 7-6,3,SF,Mark Knowles,R,190,BAH,33.1225188227,Daniel Nestor,L,190,CAN,32.1204654346,Mahesh Bhupathi,R,185,IND,30.3655030801,Max Mirnyi,R,196,BLR,27.2854209446,1,4480,1,4480,7,3410,12,2870,,,,,,,,,,,,,,,,,,,,
2004-1536,Madrid Masters,Hard,48,M,20041018,298,103184,103185,2,,102093,101327,,AL,7-6 7-5,3,SF,Bob Bryan,L,193,USA,26.4722792608,Mike Bryan,R,190,USA,26.4722792608,Martin Damm,R,188,CZE,32.2135523614,Cyril Suk,R,180,CZE,37.7193702943,5,3520,5,3520,20,2023,19,2035,,,,,,,,,,,,,,,,,,,,
2004-1536,Madrid Masters,Hard,48,M,20041018,297,101956,102110,1,,102477,101675,,,6-3 3-6 6-3,3,QF,Mark Knowles,R,190,BAH,33.1225188227,Daniel Nestor,L,190,CAN,32.1204654346,Gaston Etlis,R,185,ARG,29.954825462,Martin Rodriguez,R,178,ARG,34.8336755647,1,4480,1,4480,18,2160,17,2290,,,,,,,,,,,,,,,,,,,,
2004-1536,Madrid Masters,Hard,48,M,20041018,296,103184,103185,2,,103428,102318,,,6-4 6-4,3,QF,Bob Bryan,L,193,USA,26.4722792608,Mike Bryan,R,190,USA,26.4722792608,Juan Ignacio Chela,R,190,ARG,25.1362080767,Andrei Pavel,R,183,ROU,30.7241615332,5,3520,5,3520,53,1180,94,624,,,,,,,,,,,,,,,,,,,,
2004-1536,Madrid Masters,Hard,48,M,20041018,295,102405,103018,3,,103103,102783,,,6-4 6-2,3,QF,Mahesh Bhupathi,R,185,IND,30.3655030801,Max Mirnyi,R,196,BLR,27.2854209446,Dominik Hrbaty,R,183,SVK,26.7871321013,Rainer Schuettler,R,180,GER,28.4818617385,7,3410,12,2870,79,714,65,940,,,,,,,,,,,,,,,,,,,,
2004-1536,Madrid Masters,Hard,48,M,20041018,294,102093,101327,,AL,101885,103080,,,7-6 6-7 6-2,3,QF,Martin Damm,R,188,CZE,32.2135523614,Cyril Suk,R,180,CZE,37.7193702943,Wayne Arthurs,L,190,AUS,33.5879534565,Paul Hanley,R,183,AUS,26.932238193,20,2023,19,2035,16,2290,14,2715,,,,,,,,,,,,,,,,,,,,
2004-1536,Madrid Masters,Hard,48,M,20041018,293,101956,102110,1,,102382,102800,,,6-7 6-2 6-2,3,R16,Mark Knowles,R,190,BAH,33.1225188227,Daniel Nestor,L,190,CAN,32.1204654346,Julian Knowle,L,188,AUT,30.4722792608,Nenad Zimonjic,R,190,SRB,28.372347707,1,4480,1,4480,25,1689,15,2360,,,,,,,,,,,,,,,,,,,,
2004-1536,Madrid Masters,Hard,48,M,20041018,292,103184,103185,2,,103544,103498,,WC,6-2 6-4,3,R16,Bob Bryan,L,193,USA,26.4722792608,Mike Bryan,R,190,USA,26.4722792608,Andy Ram,R,180,ISR,24.5229295003,Marat Safin,R,193,RUS,24.7255304586,5,3520,5,3520,30,1530,170,275,,,,,,,,,,,,,,,,,,,,
2004-1536,Madrid Masters,Hard,48,M,20041018,291,102405,103018,3,,102233,101866,,,6-4 7-6,3,R16,Mahesh Bhupathi,R,185,IND,30.3655030801,Max Mirnyi,R,196,BLR,27.2854209446,Leander Paes,R,178,IND,31.3374401095,David Rikl,L,178,CZE,33.6399726215,7,3410,12,2870,13,2820,22,1910,,,,,,,,,,,,,,,,,,,,
