tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-M-FU-ARG-01A-2000,Argentina F1,Clay,32,S,20000311,001,102168,1,WC,Hector Moretti,R,170,ARG,27.1047227926,208,165,103485,,,Ivan Beros,R,,CRO,20.1834360027,364,77,6-7(3) 6-3 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2000-M-FU-ARG-01A-2000,Argentina F1,Clay,32,S,20000311,002,103594,,,Oliver Marach,R,185,AUT,19.6386036961,420,62,103602,,,Fernando Gonzalez,R,183,CHI,19.6030116359,398,67,6-2 3-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2000-M-FU-ARG-01A-2000,Argentina F1,Clay,32,S,20000311,003,103581,,,Flavio Saretta,R,183,BRA,19.6878850103,335,86,103506,,,Martin Vassallo Arguello,R,183,ARG,20.0684462697,440,57,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2000-M-FU-ARG-01A-2000,Argentina F1,Clay,32,S,20000311,004,102723,8,,Eduardo Medica,R,180,ARG,24.0684462697,317,93,103395,,Q,Julio Silva,R,173,BRA,20.681724846,611,24,3-6 6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2000-M-FU-ARG-01A-2000,Argentina F1,Clay,32,S,20000311,005,102930,4,,Rodrigo Cerdera,R,,ARG,23.0828199863,269,121,103373,,,Sergio Roitman,R,185,ARG,20.8076659822,341,84,2-6 7-6(6) 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2000-M-FU-ARG-01A-2000,Argentina F1,Clay,32,S,20000311,006,103478,,WC,Diego Veronelli,R,193,ARG,20.2518822724,329,88,103700,,,Juan Pablo Guzman,L,178,ARG,19.099247091,505,42,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2000-M-FU-ARG-01A-2000,Argentina F1,Clay,32,S,20000311,007,103052,,Q,Mariano Delfino,R,183,ARG,22.4585900068,633,21,111486,,WC,Leonardo Olguin,U,,ARG,24.4106776181,,,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2000-M-FU-ARG-01A-2000,Argentina F1,Clay,32,S,20000311,008,103281,6,,Ladislav Svarc,R,188,SVK,21.311430527,313,93,102544,,Q,Pablo Bianchi,R,,URU,25.0212183436,717,15,7-6(2) 2-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2000-M-FU-ARG-01A-2000,Argentina F1,Clay,32,S,20000311,009,102647,,Q,Alberto Brause,R,,URU,24.5311430527,1160,2,101976,5,,Federico Dondo,R,,URU,28.3832991102,290,105,2-6 6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2000-M-FU-ARG-01A-2000,Argentina F1,Clay,32,S,20000311,010,103121,,,Matias Oneille,R,,ARG,22.12183436,507,42,102769,,,Andres Schneiter,R,,ARG,23.909650924,352,82,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
