tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-M-ITF-ALG-01A-2022,M15 Oran,Clay,32,15,20220516,101,144826,1,,Aziz Dougaz,L,,TUN,25.1389459274,122419,,Q,Hichem Yasri,U,,ALG,32.1560574949,6-0 6-1,3,R32,,,,,,,,,,,,,,,,,,,,440,85,,
2022-M-ITF-ALG-01A-2022,M15 Oran,Clay,32,15,20220516,102,126461,,,Miguel Garcia,U,,ESP,25.6892539357,210582,,Q,Guilherme Meale,U,,BRA,,6-0 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2022-M-ITF-ALG-01A-2022,M15 Oran,Clay,32,15,20220516,103,200086,,,Toufik Sahtali,U,,ALG,23.3538672142,207808,,,Joao Marcos Nusdeo,R,,BRA,27.4579055441,5-7 7-5 6-4,3,R32,,,,,,,,,,,,,,,,,,,,1808,1,1269,5
2022-M-ITF-ALG-01A-2022,M15 Oran,Clay,32,15,20220516,104,207183,6,,Ishaque Eqbal,R,,IND,24.3258042437,209309,,,Tushar Madan,R,,IND,,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,,1046,9,,
2022-M-ITF-ALG-01A-2022,M15 Oran,Clay,32,15,20220516,105,209850,3,,Robin Bertrand,U,,FRA,19.1704312115,209360,,,Samir Hamza Reguig,U,,ALG,20.3203285421,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,750,25,1913,1
2022-M-ITF-ALG-01A-2022,M15 Oran,Clay,32,15,20220516,106,210032,,,Pierre Antoine Tailleu,U,,FRA,18.7104722793,209955,,,Mikail Alimli ,U,,FRA,18.8501026694,6-1 3-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,2098,1
2022-M-ITF-ALG-01A-2022,M15 Oran,Clay,32,15,20220516,107,210583,,Q,Rodrigo Mora Clement,U,,ESP,,210584,,WC,Aymen Abderrahmene Ali Moussa,U,,ALG,,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2022-M-ITF-ALG-01A-2022,M15 Oran,Clay,32,15,20220516,108,200014,7,,Digvijaypratap Singh,R,,IND,21.9520876112,210124,,,Mehdi Sadaoui ,U,,FRA,19.1594798084,6-2 3-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,,1057,9,1690,2
2022-M-ITF-ALG-01A-2022,M15 Oran,Clay,32,15,20220516,109,209863,8,JE,Leo Borg,R,183,SWE,19.0034223135,133339,,Q,Mohit Bhardwaj,U,,IND,24.4791238877,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,1145,7,,
2022-M-ITF-ALG-01A-2022,M15 Oran,Clay,32,15,20220516,110,208753,,,Imran Sibille,R,,FRA,20.2765229295,210585,,Q,Ouassim Ben Guergoura,U,,ALG,,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,,1808,1,,
